Climate_Zone,NGWH,ERWH,HPWH,ERWH 3 to 6,ERWH 10 to 1,ERWH 3 to 6 mixed,ERWH 10 to 1 mixed,HPWH 3 to 6 ,HPWH 10 to 1 ,HPWH 3 to 6 mixed,HPWH 10 to 1 mixed
1,19070,10855,4762,11547,10123,11455,10402,5300,4627,5090,4540
3,18172,9884,4399,10593,9151,10598,9587,4916,4248,4789,4242
4,17767,9406,4152,10058,9018,10064,9288,4660,4004,4539,4001
6,17436,9059,3992,9639,8271,9687,8742,4458,3822,4370,3840
9,17112,8715,3800,9235,7845,9298,8346,4263,3651,4189,3655
10,17048,8665,3757,9141,7793,9223,8283,4226,3615,4149,3621
12,17535,9133,4007,9762,8363,9773,8754,4493,3851,4394,3861
