Climate_Zone,ERWH,HPWH,ERWH 3 to 6,ERWH 10 to 1,ERWH 3 to 6 mixed,ERWH 10 to 1 mixed,HPWH 3 to 6 ,HPWH 10 to 1 ,HPWH 3 to 6 mixed,HPWH 10 to 1 mixed
1,2994,1152,3069,3073,2993,2998,1376,1383,1132,1152
3,2715,1032,2792,2798,2753,2759,1257,1269,1049,1064
4,2590,972,2670,2676,2631,2637,1195,1205,998,1013
6,2480,929,2558,2566,2511,2521,1149,1160,965,979
9,2376,883,2376,2464,2399,2417,1101,1115,925,938
10,2358,877,2439,2447,2374,2391,1096,1102,917,928
12,2522,945,2601,2608,2565,2578,1162,1173,966,984
