Climate_Zone,NGWH,ERWH,HPWH,ERWH 3 to 6,ERWH 10 to 1,ERWH 3 to 6 mixed,ERWH 10 to 1 mixed,HPWH 3 to 6 ,HPWH 10 to 1 ,HPWH 3 to 6 mixed,HPWH 10 to 1 mixed
1,314,850,326,866,849,853,853,386,381,317,320
3,297,772,291,785,767,778,772,350,347,293,295
4,289,729,273,746,729,737,731,332,327,278,279
6,282,648,241,658,622,648,634,290,280,246,242
9,275,456,169,466,461,460,462,209,209,177,181
10,274,610,227,625,591,609,598,275,265,234,230
12,284,378,139,375,338,371,359,163,150,137,134
