Climate_Zone,NGWH,ERWH,HPWH,ERWH 3 to 6,ERWH 10 to 1,ERWH 3 to 6 mixed,ERWH 10 to 1 mixed,HPWH 3 to 6 ,HPWH 10 to 1 ,HPWH 3 to 6 mixed,HPWH 10 to 1 mixed
1,314,881,335,895,839,878,848,396,372,321,311
3,297,803,300,810,752,803,768,358,337,299,287
4,289,754,281,770,714,756,723,339,317,283,271
6,282,725,268,741,684,725,694,327,305,274,262
9,275,692,255,706,651,692,662,311,291,263,251
10,274,679,252,698,645,678,651,309,287,260,248
12,284,731,271,747,691,735,705,328,307,275,262
