Climate_Zone,NGWH,ERWH,HPWH,ERWH 3 to 6,ERWH 10 to 1,ERWH 3 to 6 mixed,ERWH 10 to 1 mixed,HPWH 3 to 6 ,HPWH 10 to 1 ,HPWH 3 to 6 mixed,HPWH 10 to 1 mixed
1,2042,4778,2040,4916,4481,4833,4541,2192,1992,2097,1954
3,1946,4358,1897,4452,4028,4414,4136,2015,1828,1956,1820
4,1902,4132,1785,4224,3927,4170,3974,1895,1722,1848,1714
6,1867,3989,1715,4044,3654,3991,3768,1812,1644,1771,1657
9,1832,3801,1636,3855,3482,3813,3604,1729,1573,1689,1575
10,1825,3786,1618,3815,3458,3792,3692,1712,1562,1670,1560
12,1877,4008,1722,4080,3697,4025,3757,1825,1661,1782,1652
