Mon,Day,Hr,Dhw_CZ4_ERWH_SF_bc,Dhw_CZ4_HPWH_SF_bc,Dhw_CZ4_HPWH_bu_SF_bc,Dhw_CZ4_HPWH_bu2_SF_bc,Dhw_CZ4_ERWH_SF_3_to_6,Dhw_CZ4_HPWH_SF_3_to_6,Dhw_CZ4_HPWH_bu_SF_3_to_6,Dhw_CZ4_HPWH_bu2_SF_3_to_6,Dhw_CZ4_ERWH_SF_10_to_1,Dhw_CZ4_HPWH_SF_10_to_1,Dhw_CZ4_HPWH_bu_SF_10_to_1,Dhw_CZ4_HPWH_bu2_SF_10_to_1,Dhw_CZ4_NG,Dry Bulb,Wet Bulb,Dew Point
1,1,1,0,2.23019,1.87121,0,0,0,1.10703,0,0,0,0,0,0,53.24,47.64,42.44
1,1,2,0,0,1.20064,0,0,0,0,0,0,0,0,0,0,53.06,47.95,43.34
1,1,3,0,0,0.75928,0,0,0,0.577577,0,0,0,0,0,0.0412585,52.88,48.28,44.24
1,1,4,0,0.200388,0,0,70.5812,2.03856,14.8043,0,28.1775,2.03856,0,0,0,52.7,48.64,45.14
1,1,5,0,2.82634,0.769717,0,8.36967,3.96619,15.2335,0,5.16504,3.96619,0,0,0.0412585,52.34,49.02,46.22
1,1,6,19.4541,2.04866,3.34157,0,18.6862,4.92101,14.9451,0,4.0956,4.92101,1.34416,0,90.3185,51.62,49.15,47.12
1,1,7,30.717,2.91795,3.39129,0,14.8465,0.195935,3.58405,0,29.1812,0.195935,3.37109,0,33.8829,51.98,49.75,48.02
1,1,8,14.9124,7.81116,3.55308,0,0,2.55358,3.70678,0,1.0239,2.55358,5.14852,0,53.6184,51.8,49.98,48.56
1,1,9,0,4.04561,6.36758,0,0,3.52975,2.90854,0,0,3.52975,5.43269,0,36.0549,51.8,50.79,50
1,1,10,2.30377,2.67414,6.79521,0,1.79183,2.86213,1.86095,0,1.53585,2.86213,4.67484,0,88.0592,52.16,50.94,50
1,1,11,44.7956,3.69398,6.42417,0,30.461,5.38009,1.75832,0,98.2943,5.38009,13.6041,7.73008,48.3525,53.24,51.42,50
1,1,12,36.7599,7.1731,5.50513,0,18.1742,5.79847,2.03703,0,27.001,5.79847,14.8951,0,32.4357,51.8,50.79,50
1,1,13,15.2259,7.23423,6.21874,0,12.0304,3.36832,2.9305,0,14.3346,3.36832,13.2441,7.80346,25.0348,51.8,50.79,50
1,1,14,0,5.44769,5.12756,0,0,4.69358,1.7287,0,0,4.69358,5.00783,0,6.59882,51.8,50.79,50
1,1,15,0,1.67519,5.56827,0,0,1.76606,1.78016,0,0,1.76606,1.8531,0,19.8233,52.16,50.94,50
1,1,16,0,8.35857,3.64621,0,0,6.30499,4.64404,0,0,6.30499,1.84409,0,26.2795,53.6,51.6,50
1,1,17,1.79183,5.72235,3.91231,0,4.60755,3.72543,5.6728,0,0,3.72543,1.88809,0,41.6093,53.42,51.63,50.18
1,1,18,15.3585,0,3.24475,0,15.3585,4.76712,6.333,0,0,4.76712,0.256593,0,6.02241,52.52,51.1,50
1,1,19,1.28401,0,1.82295,0,3.20351,3.77317,1.98303,0,0,3.77317,0,0,3.25453,51.44,50.43,49.64
1,1,20,0,0,1.84369,0,0,0,1.85676,0,0,0,0.517966,0,20.4747,50,48.99,48.2
1,1,21,4.35158,2.09987,2.21096,0,4.35158,2.39737,1.85011,0,4.86352,2.39737,2.21916,0,39.7969,50,48.99,48.2
1,1,22,13.3232,3.9674,1.73477,0,12.7565,3.46649,2.22023,0,27.6639,3.46649,3.59784,0,29.5325,50,48.99,48.2
1,1,23,0,5.74089,3.41113,0,0,3.32953,3.59375,0,0,3.32953,3.01195,0,1.60613,49.64,48.83,48.2
1,1,24,0,2.17677,1.88246,0,0,0,3.74411,0,0,0,1.27936,0,0.0549716,44.42,44.33,44.24
1,2,1,0,0,2.14229,0,0,0,0.866656,0,0,0,0,0,0,40.1,40.01,39.92
1,2,2,0,3.20608,3.05012,0,0,0,0,0,0,0,0,0,5.45995,36.68,36.6,36.5
1,2,3,0,2.88726,0.491282,0,0,2.62805,0,0,0,2.62805,1.3499,0,4.1672,34.52,34.44,34.34
1,2,4,0,0,1.6565,0,90.7288,0,15.1032,0,13.9325,0,1.86547,0,0,33.8,33.72,33.62
1,2,5,0,0.81141,0.280006,0,29.0407,0.110626,15.3692,0,0,0.110626,0.322956,0,0,34.52,34.44,34.34
1,2,6,0,6.58292,3.28229,0,0,5.21338,13.6634,0,0,5.21338,0,0,3.26398,36.68,36.6,36.5
