Mon,Day,Hr,Dhw_CZ12_ERWH_SF_bc,Dhw_CZ12_HPWH_SF_bc,Dhw_CZ12_HPWH_bu_SF_bc,Dhw_CZ12_HPWH_bu2_SF_bc,Dhw_CZ12_ERWH_SF_3_to_6,Dhw_CZ12_HPWH_SF_3_to_6,Dhw_CZ12_HPWH_bu_SF_3_to_6,Dhw_CZ12_HPWH_bu2_SF_3_to_6,Dhw_CZ12_ERWH_SF_10_to_1,Dhw_CZ12_HPWH_SF_10_to_1,Dhw_CZ12_HPWH_bu_SF_10_to_1,Dhw_CZ12_HPWH_bu2_SF_10_to_1,Dhw_CZ12_ERWH_MF_bc,Dhw_CZ12_HPWH_MF_bc,Dhw_CZ12_HPWH_bu_MF_bc,Dhw_CZ12_HPWH_bu2_MF_bc,Dhw_CZ12_ERWH_MF_3_to_6,Dhw_CZ12_HPWH_MF_3_to_6,Dhw_CZ12_HPWH_bu_MF_3_to_6,Dhw_CZ12_HPWH_bu2_MF_3_to_6,Dhw_CZ12_ERWH_MF_10_to_1,Dhw_CZ12_HPWH_MF_10_to_1,Dhw_CZ12_HPWH_bu_MF_10_to_1,Dhw_CZ12_HPWH_bu2_MF_10_to_1,Dhw_CZ12_NG,Dry Bulb,Wet Bulb,Dew Point,Dhw_CZ12_NG_MF
1,1,1,0,0,0.382782,0,0,0,0.381904,0,0,0,0,0,0,0.861192,1.8685,0,0,0,1.16894,0,0,0,0,0,0,50,49.3,48.74,0
1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2307,0,0,0,0,0,0,0,0,0,0,50,49.3,48.74,0
1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.794455,0,0,0,0,0,0,0,0,0,0,50,49,48.2,0.042365
1,1,4,0,0,0,0,8.58332,0,0,2.70928,0,0,0,0,0,1.09137,0,0,84.3832,1.00094,14.8854,0,0,1.00094,0,0,0,50,48.89,48.02,0
1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16072,0.061025,0,8.73704,4.15821,15.333,0,0,4.15821,0,0,0,50,48.89,48.02,0.042365
1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,19.7101,1.9624,3.6491,0,18.6862,0.846778,15.1036,0,15.3585,0.846778,1.76623,0,0,50,48.99,48.2,92.9133
1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,30.717,4.67026,3.82246,0,15.3585,3.24171,3.57512,0,25.5975,3.24171,5.18334,0,0.0669368,48.56,47.52,46.58,34.8114
1,1,8,0,0.181692,0,0,0,0.381602,0,0,0,0.381602,0.210115,0,15.8591,7.08139,3.51772,0,0,5.03878,3.69674,0,0,5.03878,5.38634,0,4.51779,48.92,47.89,46.94,55.0677
1,1,9,0,2.90495,0,0,0,2.18204,0,0,0,2.18204,2.92052,0,0,5.32474,6.29605,0,0,5.30107,3.02851,0,0,5.30107,4.84931,0,1.97666,48.74,47.72,46.76,37.0466
1,1,10,1.27988,0,0.596107,0,0,0,0.205083,0,4.0956,0,0.234283,0,3.32768,1.7822,6.42157,0,1.79183,1.81249,1.85479,0,2.55975,1.81249,3.42318,0,15.006,48.56,47.64,46.76,90.5259
