Mon,Day,Hr,Dhw_CZ9_ERWH_SF_bc,Dhw_CZ9_HPWH_SF_bc,Dhw_CZ9_HPWH_bu_SF_bc,Dhw_CZ9_HPWH_bu2_SF_bc,Dhw_CZ9_ERWH_SF_3_to_6,Dhw_CZ9_HPWH_SF_3_to_6,Dhw_CZ9_HPWH_bu_SF_3_to_6,Dhw_CZ9_HPWH_bu2_SF_3_to_6,Dhw_CZ9_ERWH_SF_10_to_1,Dhw_CZ9_HPWH_SF_10_to_1,Dhw_CZ9_HPWH_bu_SF_10_to_1,Dhw_CZ9_HPWH_bu2_SF_10_to_1,Dhw_CZ9_NG,Dry Bulb,Wet Bulb,Dew Point
1,1,1,0,7.09647,1.75947,0,0,3.57224,0,0,0,3.57224,0,0,0,44.42,38.28,30.38
1,1,2,0,2.57236,0,0,0,0,0,0,0,0,0,0,0,42.62,37.31,30.38
1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0400404,41,36.37,30.2
1,1,4,0,0,0,0,61.434,0.926329,14.7704,0,0,0.926329,0,0,0,40.82,35.63,28.58
1,1,5,0,2.86834,0.0939275,0,16.5916,3.17327,15.2352,0,0,3.17327,0,0,0.0400404,39.2,34.68,28.58
1,1,6,18.6862,2.24557,4.95948,0,17.9182,1.85175,14.7672,0,17.6623,1.85175,1.32504,0,85.9393,39.02,34.65,28.76
1,1,7,30.6355,1.4277,4.37948,0,12.0308,0,3.74875,0,28.717,0,1.70326,0,32.3844,37.4,34.41,30.38
1,1,8,9.28704,3.94927,5.42913,0,0,3.87286,3.59219,0,0,3.87286,4.11143,0,51.9133,37.58,34.52,30.38
1,1,9,0,7.40587,5.20137,0,0,5.30042,1.88801,0,0,5.30042,5.05305,0,34.6681,39.56,35.68,30.38
1,1,10,1.79183,5.23773,6.62049,0,1.0239,1.11498,1.07621,0,3.0717,1.11498,3.66418,0,84.709,43.16,37.76,30.74
1,1,11,15.3585,3.83061,6.57241,0,27.9013,3.8254,0,0,105.679,3.8254,13.6687,6.8285,46.6978,46.76,40.85,33.8
1,1,12,18.8195,6.90423,4.3245,0,13.8226,6.86777,1.8205,0,63.9417,6.86777,14.908,0,31.0209,50.72,42.71,33.44
1,1,13,15.3225,8.48363,3.82885,0,14.8465,7.14002,3.56372,0,17.0907,7.14002,14.1253,0,24.0003,55.76,43.98,30.02
1,1,14,0,2.20701,4.54751,0,1.53585,1.70751,2.62541,0,0,1.70751,3.51083,0,6.37875,59.18,44.53,26.78
1,1,15,0,2.17919,2.8033,0,13.3107,2.83902,1.83027,0,0,2.83902,1.84791,0,19.1853,60.8,45.39,27.14
1,1,16,43.0038,0.852464,3.10178,0,0,4.44226,1.87419,0,0,4.44226,1.89068,0,25.4361,60.62,46.5,30.74
1,1,17,4.14104,5.96646,3.80722,0,2.0478,7.29174,1.82125,0,0,7.29174,0.934596,0,39.8245,59.36,46.91,33.62
