Mon,Day,Hr,Dhw_CZ3_ERWH_SF_bc,Dhw_CZ3_HPWH_SF_bc,Dhw_CZ3_HPWH_bu_SF_bc,Dhw_CZ3_HPWH_bu2_SF_bc,Dhw_CZ3_ERWH_SF_3_to_6,Dhw_CZ3_HPWH_SF_3_to_6,Dhw_CZ3_HPWH_bu_SF_3_to_6,Dhw_CZ3_HPWH_bu2_SF_3_to_6,Dhw_CZ3_ERWH_SF_10_to_1,Dhw_CZ3_HPWH_SF_10_to_1,Dhw_CZ3_HPWH_bu_SF_10_to_1,Dhw_CZ3_HPWH_bu2_SF_10_to_1,Dhw_CZ3_NG,Dry Bulb,Wet Bulb,Dew Point
1,1,1,0,0,1.86911,0,0,0,1.1694,0,0,0,0,0,0,51.8,48.99,46.58
1,1,2,0,0,1.22865,0,0,0,0,0,0,0,0,0,0,51.8,49.79,48.2
1,1,3,0,0,0.792936,0,0,0,0,0,0,0,0,0,0.0406885,51.8,49.79,48.2
1,1,4,0,1.29837,0,0,84.3142,2.03501,14.8916,0,0,2.03501,0,0,0,51.62,49.71,48.2
1,1,5,0,1.80498,0.0305152,0,8.72973,2.97734,15.3361,0,0,2.97734,0,0,0.0406885,50.18,49.07,48.2
1,1,6,19.7101,2.04836,3.64945,0,18.6862,0.99134,15.1036,0,15.3585,0.99134,1.76723,0,89.3791,51.8,49.79,48.2
1,1,7,30.717,4.00368,3.84986,0,15.3585,3.38395,3.5759,0,25.5975,3.38395,5.18423,0,33.5294,51.62,49.71,48.2
1,1,8,15.8184,7.02295,3.51708,0,0,4.81215,3.69762,0,0,4.81215,5.38725,0,52.9079,50.54,49.23,48.2
1,1,9,0,3.87338,6.23153,0,0,4.2473,2.99705,0,0,4.2473,4.84152,0,35.6261,51.8,49.79,48.2
1,1,10,3.32768,2.32673,6.45499,0,1.79183,2.13105,1.85524,0,2.55975,2.13105,3.42375,0,86.9692,51.8,49.99,48.56
1,1,11,47.3554,6.15943,6.48548,0,17.4063,5.82564,1.75218,0,113.909,5.82564,13.5701,7.88122,47.731,53.6,52.54,51.8
1,1,12,34.6063,7.48305,5.55542,0,17.9182,5.41461,2.02996,0,40.6223,5.41461,14.8757,0,32.0946,53.06,52.05,51.26
1,1,13,14.8437,7.30298,6.70035,0,12.0308,3.34866,3.12319,0,19.0419,3.34866,13.2386,7.99734,24.7538,51.8,50.8,50
1,1,14,0,3.47829,5.10217,0,0,2.15064,1.72512,0,0,2.15064,4.93334,0,6.51745,53.6,50.39,47.84
1,1,15,0,0.411352,5.86924,0,0,0,1.77647,0,0,0,2.00756,0,19.5593,53.6,48.81,44.6
1,1,16,0,8.76987,3.64446,0,11.0069,6.26029,1.81231,0,0,6.26029,1.83776,0,25.9309,53.42,48.82,44.78
1,1,17,15.9053,6.75499,3.90984,0,2.14996,8.40075,2.00681,0,0,8.40075,1.88075,0,41.1235,52.34,49.05,46.22
1,1,18,15.3585,0,3.29652,0,10.4209,4.24949,3.63345,0,0,4.24949,0.41595,0,5.94068,51.8,49.43,47.48
1,1,19,1.51455,0,1.82053,0,0,2.06604,2.13142,0,0,2.06604,0,0,3.21382,51.8,49.59,47.84
1,1,20,0,0.27162,1.84094,0,0,2.71397,1.85239,0,4.60755,2.71397,0.545741,0,20.2027,51.62,47.94,44.6
1,1,21,4.35158,2.75595,2.39798,0,4.35158,2.55484,1.97405,0,6.91132,2.55484,2.21552,0,39.3914,50,47.26,44.78
1,1,22,13.5441,3.10616,1.9562,0,13.0995,3.48118,2.27481,0,0,3.48118,3.59132,0,29.1578,49.82,47.85,46.04
1,1,23,0,4.46511,3.41189,0,0,3.14578,3.5911,0,0,3.14578,3.103,0,1.58754,48.02,45.45,42.98
1,1,24,0,3.52561,1.88104,0,0,0,3.7403,0,0,0,1.34757,0,0.0542121,46.04,45.19,44.42
1,2,1,0,0,1.74079,0,0,0,0.975505,0,0,0,0,0,0,42.8,42.8,42.8
1,2,2,0,1.17082,3.46407,0,0,0,1.20796,0,0,0,0,0,5.37937,42.98,42.89,42.8
1,2,3,0,4.15712,0.535239,0,0,0,1.78406,0,0,0,0.414705,0,4.10442,44.24,43.36,42.44
1,2,4,0,0,1.56401,0,90.727,0,14.9722,0,0,0,1.8278,0,0,41.18,40.39,39.56
1,2,5,0,0,0.458898,0,31.0108,0,15.2645,0,0,0,1.32854,0,0,42.8,42.8,42.8
1,2,6,0,6.35874,3.19865,0,0,3.37508,13.6005,0,0,3.37508,0,0,3.21959,42.8,42.8,42.8
1,2,7,0,7.2086,1.83741,0,0,7.02345,0.158873,0,0,7.02345,0,0,16.8464,42.8,42.71,42.62
1,2,8,0.767925,2.2187,0,0,0,1.61607,0,0,0,1.61607,0.733363,0,16.8176,43.16,42.28,41.36
1,2,9,15.3585,0,1.13222,0,0,0.560727,0,0,1.27988,0.560727,2.01608,0,52.1627,46.4,45.46,44.6
1,2,10,19.3808,1.45306,3.35423,0,0,8.09267,0,0,15.3585,8.09267,3.5828,0,38.9608,46.4,45.46,44.6
1,2,11,11.5912,7.57694,2.31235,0,0,4.69119,0,0,56.6184,4.69119,14.0875,6.5757,3.00014,46.58,45.54,44.6
1,2,12,0,0,5.31345,0,6.91132,0,1.26224,0,5.69718,0,15.3342,0,15.4818,48.38,46.49,44.78
1,2,13,0,0.416843,5.48964,0,5.37547,0,1.79236,0,0,0,15.485,0,2.20691,50,48.02,46.22
1,2,14,4.60755,3.58438,2.37775,0,0,0.278883,1.8779,0,0,0.278883,1.32844,0,10.2083,50.54,47.42,44.6
1,2,15,10.6658,3.28642,3.65341,0,0,1.0682,0.28872,0,0,1.0682,0,0,4.30332,50,47.07,44.42
1,2,16,0,1.36586,2.88096,0,0,0,0,0,0,0,0,0,0.681839,50,46.39,42.98
1,2,17,0,0.548291,0.304762,0,0,0,0,0,0,0,0,0,5.04261,49.46,46.13,42.98
1,2,18,0,4.05051,0,0,0,1.18053,0,0,0,1.18053,0,0,3.38005,48.92,45.71,42.62
1,2,19,23.0378,2.0267,1.83599,0,0,6.13346,0,0,0,6.13346,0,0,32.2073,48.2,44.62,41
1,2,20,7.75249,1.97356,1.53041,0,0,2.53473,0,0,0,2.53473,0,0,4.8031,48.02,44.46,40.82
1,2,21,0,3.3028,1.3132,0,11.5189,0.833901,1.29355,0,11.5189,0.833901,1.29831,0,16.807,46.4,42.84,39.02
1,2,22,0,0,1.79253,0,1.53585,0,1.80638,0,0.51195,0,1.81305,0,1.6977,46.22,42.06,37.4
1,2,23,0,0,2.18419,0,0,1.4235,3.24842,0,12.5428,1.4235,1.83847,0,28.9284,44.78,41.25,37.22
1,2,24,0,0,2.06683,0,0,5.24886,1.98236,0,2.30377,5.24886,0,0,0.770174,46.22,41.25,35.42
1,3,1,0,2.30881,0,0,0,4.13419,1.41754,0,0,4.13419,0,0,2.56381,44.24,39.64,33.8
1,3,2,0,3.46684,0.786362,0,0,0,0,0,0,0,0,0,0.144494,41,37.86,33.8
1,3,3,0,0,3.08165,0,0,0,0,0,0,0,0,0,1.34186,41,37.79,33.62
1,3,4,0,3.64428,2.161,0,59.6965,0,14.9814,0,0,0,0,0,0.122795,40.1,36.66,32
1,3,5,0,5.9471,3.27536,0,11.3455,1.55998,15.4263,0,0,1.55998,0,0,0.144494,33.8,33.05,32
1,3,6,0,6.27399,0.283771,0,0,3.72881,13.9601,0,0,3.72881,0,0,4.64675,33.8,33.12,32.18
