Mon,Day,Hr,Dhw_CZ1_ERWH_SF_bc,Dhw_CZ1_HPWH_SF_bc,Dhw_CZ1_HPWH_bu_SF_bc,Dhw_CZ1_HPWH_bu2_SF_bc,Dhw_CZ1_ERWH_SF_3_to_6,Dhw_CZ1_HPWH_SF_3_to_6,Dhw_CZ1_HPWH_bu_SF_3_to_6,Dhw_CZ1_HPWH_bu2_SF_3_to_6,Dhw_CZ1_ERWH_SF_10_to_1,Dhw_CZ1_HPWH_SF_10_to_1,Dhw_CZ1_HPWH_bu_SF_10_to_1,Dhw_CZ1_HPWH_bu2_SF_10_to_1,Dhw_CZ1_ERWH_MF_bc,Dhw_CZ1_HPWH_MF_bc,Dhw_CZ1_HPWH_bu_MF_bc,Dhw_CZ1_HPWH_bu2_MF_bc,Dhw_CZ1_ERWH_MF_3_to_6,Dhw_CZ1_HPWH_MF_3_to_6,Dhw_CZ1_HPWH_bu_MF_3_to_6,Dhw_CZ1_HPWH_bu2_MF_3_to_6,Dhw_CZ1_ERWH_MF_10_to_1,Dhw_CZ1_HPWH_MF_10_to_1,Dhw_CZ1_HPWH_bu_MF_10_to_1,Dhw_CZ1_HPWH_bu2_MF_10_to_1,Dhw_CZ1_NG,Dry Bulb,Wet Bulb,Dew Point,Dhw_CZ1_NG_MF
1,1,1,0,0,0.277457,0,0,0,0.25646,0,0,0.0276969,0,0,0,1.09611,1.85255,0,0,0,1.87686,0,0,0,0,0,0,44.6,43.73,42.8,0
1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50414,0,0,0,0.0319297,0,0,0,0,0,0,44.78,43.81,42.8,0
1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34475,0,0,0,0,0,0,0,0,0,0,46.4,44.65,42.98,0.0412205
1,1,4,0,0,0,0,8.59509,0,0,2.71479,0,0,0,0,0,1.2275,1.16245,0,89.0617,3.62432,14.7479,0,0,3.62432,0,0,0,46.4,45.35,44.42,0
1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60436,1.4208,0,18.1999,4.55402,15.2404,0,0,4.55402,0,0,0,46.4,44.57,42.8,0.0412205
1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,20.222,2.18989,1.8122,0,19.1981,0.499045,15.1466,0,16.3824,0.499045,1.74147,0,0,46.4,45.44,44.6,91.9551
1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,30.717,6.1192,4.09021,0,19.1981,1.13341,3.5212,0,28.5955,1.13341,3.39107,0,0.0664605,48.2,48.2,48.2,34.4003
1,1,8,0,0.182018,0,0,0,0.815505,0,0,0,0,2.08551,0,20.2033,5.87192,5.34411,0,0,4.70689,3.63749,0,3.83962,4.70689,4.72397,0,4.48564,48.02,46.21,44.6,53.7243
1,1,9,0,3.12817,0,0,0,1.81509,0,0,0,0,1.15808,0,2.04194,5.78607,5.16831,0,0,3.46275,3.70708,0,0,3.46275,5.65027,0,1.96259,46.4,45.26,44.24,36.3778
1,1,10,9.47107,0,0.631016,0,0,0,0.200327,0,9.47107,0.221243,0.164102,0,3.83962,1.24633,3.98725,0,2.30377,4.40618,1.88319,0,2.55975,4.40618,6.86678,0,14.8992,46.4,44.57,42.8,88.7561
1,1,11,6.13402,1.80791,2.73011,0,7.42327,1.54336,2.74517,0,15.3585,3.01994,2.14523,3.05602,66.2976,4.42747,7.30919,0,15.3585,5.91417,1.7147,0,115.445,5.91417,13.5655,8.76492,7.19527,46.4,44.58,42.8,48.5692
1,1,12,0,1.40146,1.16489,0,0.51195,1.03527,0.909033,0,0.987049,0,3.19238,0,22.3553,7.45302,8.5931,0,5.63145,3.19574,3.35779,0,43.4772,3.19574,14.9483,0,0.0443925,47.66,44.92,42.26,32.925
1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,14.5906,7.59765,8.93666,0,15.3585,3.28128,3.54737,0,20.2209,3.28128,14.378,0,0,46.4,43.19,39.92,25.3445
1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,1.78086,6.64063,4.86418,0,5.1195,2.44412,2.62369,0,0,2.44412,4.06021,0,0,46.4,43.58,40.64,6.62982
1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,9.47107,0.187631,5.33391,0,0,5.33713,1.78424,0,0,5.33713,2.83669,0,2.87689,46.58,43.75,40.82,19.8685
1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,5.27379,6.26874,1.84107,0,11.2629,9.05498,4.61715,0,0,9.05498,1.85702,0,3.85728,47.48,43.44,39.2,26.3375
1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,1.79183,9.3933,1.97671,0,2.7509,8.51446,5.6771,0,0,8.51446,1.88527,0,0.12536,45.14,42.02,38.66,42.1098
