Mon,Day,Hr,Dhw_CZ3_ERWH_SF_bc,Dhw_CZ3_HPWH_SF_bc,Dhw_CZ3_HPWH_bu_SF_bc,Dhw_CZ3_HPWH_bu2_SF_bc,Dhw_CZ3_ERWH_SF_3_to_6,Dhw_CZ3_HPWH_SF_3_to_6,Dhw_CZ3_HPWH_bu_SF_3_to_6,Dhw_CZ3_HPWH_bu2_SF_3_to_6,Dhw_CZ3_ERWH_SF_10_to_1,Dhw_CZ3_HPWH_SF_10_to_1,Dhw_CZ3_HPWH_bu_SF_10_to_1,Dhw_CZ3_HPWH_bu2_SF_10_to_1,Dhw_CZ3_ERWH_MF_bc,Dhw_CZ3_HPWH_MF_bc,Dhw_CZ3_HPWH_bu_MF_bc,Dhw_CZ3_HPWH_bu2_MF_bc,Dhw_CZ3_ERWH_MF_3_to_6,Dhw_CZ3_HPWH_MF_3_to_6,Dhw_CZ3_HPWH_bu_MF_3_to_6,Dhw_CZ3_HPWH_bu2_MF_3_to_6,Dhw_CZ3_ERWH_MF_10_to_1,Dhw_CZ3_HPWH_MF_10_to_1,Dhw_CZ3_HPWH_bu_MF_10_to_1,Dhw_CZ3_HPWH_bu2_MF_10_to_1,Dhw_CZ3_NG,Dry Bulb,Wet Bulb,Dew Point,Dhw_CZ3_NG_MF
1,1,1,0,0,0.381961,0,0,0,0.381001,0,0,0,0,0,0,0,1.86911,0,0,0,1.1694,0,0,0,0,0,0,51.8,48.99,46.58,0
1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22865,0,0,0,0,0,0,0,0,0,0,51.8,49.79,48.2,0
1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.792936,0,0,0,0,0,0,0,0,0,0,51.8,49.79,48.2,0.0406885
1,1,4,0,0,0,0,8.58309,0,0,2.70912,0,0,0,0,0,1.29837,0,0,84.3142,2.03501,14.8916,0,0,2.03501,0,0,0,51.62,49.71,48.2,0
1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.80498,0.0305152,0,8.72973,2.97734,15.3361,0,0,2.97734,0,0,0,50.18,49.07,48.2,0.0406885
1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,19.7101,2.04836,3.64945,0,18.6862,0.99134,15.1036,0,15.3585,0.99134,1.76723,0,0,51.8,49.79,48.2,89.3791
1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,30.717,4.00368,3.84986,0,15.3585,3.38395,3.5759,0,25.5975,3.38395,5.18423,0,0.0647982,51.62,49.71,48.2,33.5294
1,1,8,0,0.177921,0,0,0,0.326292,0,0,0,0.326292,0.210142,0,15.8184,7.02295,3.51708,0,0,4.81215,3.69762,0,0,4.81215,5.38725,0,4.37345,50.54,49.23,48.2,52.9079
1,1,9,0,2.80018,0,0,0,2.23533,0,0,0,2.23533,2.92088,0,0,3.87338,6.23153,0,0,4.2473,2.99705,0,0,4.2473,4.84152,0,1.91351,51.8,49.79,48.2,35.6261
1,1,10,1.27988,0,0.596214,0,0,0,0.205129,0,4.0956,0,0.232353,0,3.32768,2.32673,6.45499,0,1.79183,2.13105,1.85524,0,2.55975,2.13105,3.42375,0,14.5265,51.8,49.99,48.56,86.9692
