Mon,Day,Hr,Dhw_CZ12_ERWH_SF_bc,Dhw_CZ12_HPWH_SF_bc,Dhw_CZ12_HPWH_bu_SF_bc,Dhw_CZ12_HPWH_bu2_SF_bc,Dhw_CZ12_ERWH_SF_3_to_6,Dhw_CZ12_HPWH_SF_3_to_6,Dhw_CZ12_HPWH_bu_SF_3_to_6,Dhw_CZ12_HPWH_bu2_SF_3_to_6,Dhw_CZ12_ERWH_SF_10_to_1,Dhw_CZ12_HPWH_SF_10_to_1,Dhw_CZ12_HPWH_bu_SF_10_to_1,Dhw_CZ12_HPWH_bu2_SF_10_to_1,Dhw_CZ12_NG,Dry Bulb,Wet Bulb,Dew Point
1,1,1,0,0.861192,1.8685,0,0,0,1.16894,0,0,0,0,0,0,50,49.3,48.74
1,1,2,0,0,1.2307,0,0,0,0,0,0,0,0,0,0,50,49.3,48.74
1,1,3,0,0,0.794455,0,0,0,0,0,0,0,0,0,0.042365,50,49,48.2
1,1,4,0,1.09137,0,0,84.3832,1.00094,14.8854,0,0,1.00094,0,0,0,50,48.89,48.02
1,1,5,0,2.16072,0.061025,0,8.73704,4.15821,15.333,0,0,4.15821,0,0,0.042365,50,48.89,48.02
1,1,6,19.7101,1.9624,3.6491,0,18.6862,0.846778,15.1036,0,15.3585,0.846778,1.76623,0,92.9133,50,48.99,48.2
1,1,7,30.717,4.67026,3.82246,0,15.3585,3.24171,3.57512,0,25.5975,3.24171,5.18334,0,34.8114,48.56,47.52,46.58
1,1,8,15.8591,7.08139,3.51772,0,0,5.03878,3.69674,0,0,5.03878,5.38634,0,55.0677,48.92,47.89,46.94
1,1,9,0,5.32474,6.29605,0,0,5.30107,3.02851,0,0,5.30107,4.84931,0,37.0466,48.74,47.72,46.76
1,1,10,3.32768,1.7822,6.42157,0,1.79183,1.81249,1.85479,0,2.55975,1.81249,3.42318,0,90.5259,48.56,47.64,46.76
1,1,11,47.3554,4.25575,6.48982,0,17.4063,6.05939,1.75174,0,113.909,6.05939,13.5673,7.89727,49.6776,48.74,47.81,46.94
1,1,12,34.6477,7.42133,5.51149,0,18.1742,3.25297,2.02943,0,40.6946,3.25297,14.8746,0,33.3327,48.74,47.81,46.94
1,1,13,14.8652,7.48569,6.67279,0,12.0308,3.34739,3.13877,0,19.0796,3.34739,13.2374,8.00391,25.7318,48.38,47.34,46.4
1,1,14,0,5.51066,5.13567,0,0,2.14936,1.72482,0,0,2.14936,4.96473,0,6.77357,50,48.54,47.3
1,1,15,0,0,5.84942,0,0,1.24618,1.77614,0,0,1.24618,2.00724,0,20.3653,50,48.89,48.02
1,1,16,0.255975,5.47956,3.64412,0,11.0069,9.4579,1.81195,0,0,9.4579,1.83748,0,26.9936,50.18,48.87,47.84
1,1,17,15.6522,5.54292,3.90945,0,2.1723,10.9929,2.00643,0,0,10.9929,1.88043,0,42.7975,51.08,48.76,46.76
