Mon,Day,Hr,Dhw_CZ1_ERWH_SF_bc,Dhw_CZ1_HPWH_SF_bc,Dhw_CZ1_HPWH_bu_SF_bc,Dhw_CZ1_HPWH_bu2_SF_bc,Dhw_CZ1_ERWH_SF_3_to_6,Dhw_CZ1_HPWH_SF_3_to_6,Dhw_CZ1_HPWH_bu_SF_3_to_6,Dhw_CZ1_HPWH_bu2_SF_3_to_6,Dhw_CZ1_ERWH_SF_10_to_1,Dhw_CZ1_HPWH_SF_10_to_1,Dhw_CZ1_HPWH_bu_SF_10_to_1,Dhw_CZ1_HPWH_bu2_SF_10_to_1,Dhw_CZ1_NG,Dry Bulb,Wet Bulb,Dew Point
1,1,1,0,1.09611,1.85255,0,0,0,1.87686,0,0,0,0,0,0,44.6,43.73,42.8
1,1,2,0,0,2.50414,0,0,0,0.0319297,0,0,0,0,0,0,44.78,43.81,42.8
1,1,3,0,0,1.34475,0,0,0,0,0,0,0,0,0,0.0412205,46.4,44.65,42.98
1,1,4,0,1.2275,1.16245,0,89.0617,3.62432,14.7479,0,0,3.62432,0,0,0,46.4,45.35,44.42
1,1,5,0,2.60436,1.4208,0,18.1999,4.55402,15.2404,0,0,4.55402,0,0,0.0412205,46.4,44.57,42.8
1,1,6,20.222,2.18989,1.8122,0,19.1981,0.499045,15.1466,0,16.3824,0.499045,1.74147,0,91.9551,46.4,45.44,44.6
1,1,7,30.717,6.1192,4.09021,0,19.1981,1.13341,3.5212,0,28.5955,1.13341,3.39107,0,34.4003,48.2,48.2,48.2
1,1,8,20.2033,5.87192,5.34411,0,0,4.70689,3.63749,0,3.83962,4.70689,4.72397,0,53.7243,48.02,46.21,44.6
1,1,9,2.04194,5.78607,5.16831,0,0,3.46275,3.70708,0,0,3.46275,5.65027,0,36.3778,46.4,45.26,44.24
1,1,10,3.83962,1.24633,3.98725,0,2.30377,4.40618,1.88319,0,2.55975,4.40618,6.86678,0,88.7561,46.4,44.57,42.8
1,1,11,66.2976,4.42747,7.30919,0,15.3585,5.91417,1.7147,0,115.445,5.91417,13.5655,8.76492,48.5692,46.4,44.58,42.8
1,1,12,22.3553,7.45302,8.5931,0,5.63145,3.19574,3.35779,0,43.4772,3.19574,14.9483,0,32.925,47.66,44.92,42.26
1,1,13,14.5906,7.59765,8.93666,0,15.3585,3.28128,3.54737,0,20.2209,3.28128,14.378,0,25.3445,46.4,43.19,39.92
1,1,14,1.78086,6.64063,4.86418,0,5.1195,2.44412,2.62369,0,0,2.44412,4.06021,0,6.62982,46.4,43.58,40.64
1,1,15,9.47107,0.187631,5.33391,0,0,5.33713,1.78424,0,0,5.33713,2.83669,0,19.8685,46.58,43.75,40.82
1,1,16,5.27379,6.26874,1.84107,0,11.2629,9.05498,4.61715,0,0,9.05498,1.85702,0,26.3375,47.48,43.44,39.2
1,1,17,1.79183,9.3933,1.97671,0,2.7509,8.51446,5.6771,0,0,8.51446,1.88527,0,42.1098,45.14,42.02,38.66
1,1,18,15.3585,2.24443,3.58336,0,10.2751,2.36131,7.36449,0,0,2.36131,0.400822,0,6.0328,43.52,40.97,38.12
1,1,19,0.93966,1.21156,3.13361,0,0,0,3.80831,0,0,0,0,0,3.26608,42.98,40.39,37.4
1,1,20,0,2.19746,1.83059,0,0,0,2.46876,0,10.7509,0,1.3304,0,20.494,44.42,41.2,37.58
1,1,21,4.60755,0,2.41075,0,4.60755,2.45366,2.41,0,2.0478,2.45366,2.2906,0,40.434,42.62,40.91,39.02
1,1,22,14.3588,4.01514,3.61006,0,14.1652,3.36261,3.60699,0,0,3.36261,3.58873,0,29.7373,41,39.35,37.4
1,1,23,0,5.33993,3.72353,0,0,3.64008,2.10697,0,0,3.64008,2.90164,0,1.61827,41,39.35,37.4
1,1,24,0,3.42613,1.86688,0,0,0,1.86226,0,0,0,1.74753,0,0.054921,41,39.35,37.4
1,2,1,0,0.489423,2.64952,0,0,0,0.896889,0,0,0,0,0,0,41,39.35,37.4
1,2,2,0,4.58792,5.58325,0,0,0,0,0,0,0,0,0,5.45058,41,39.62,37.94
1,2,3,0,0.788524,1.92353,0,11.7748,0,0,0,0,0,0,0,4.15731,39.02,38.28,37.4
1,2,4,0,0,1.46183,0,90.7344,0,15.1304,0,0,0,0,0,0,37.4,37.4,37.4
1,2,5,0,0,0.528064,0,27.8124,1.91998,15.4056,0,0,1.91998,0.364302,0,0,39.38,38.47,37.4
1,2,6,0,4.05906,0,0,0,3.90839,13.8514,0,0,3.90839,1.86364,0,3.27064,41,39.35,37.4
1,2,7,0,7.6849,1.39752,0,0,8.17607,0,0,0,8.17607,0.272888,0,17.3074,41,39.35,37.4
1,2,8,4.86352,4.61675,1.01631,0,0,2.89863,0,0,0,2.89863,0,0,17.0888,41,40.16,39.2
1,2,9,10.5667,2.08415,0.0854437,0,0,0,0,0,2.0478,0,0.489488,0,53.6823,40.64,39.98,39.2
1,2,10,22.3043,4.87339,2.44744,0,0,1.7517,1.74049,0,15.3585,1.7517,3.51001,0,39.9091,39.2,39.12,39.02
1,2,11,12.4383,0,4.14001,0,0,1.26078,1.86962,0,59.6274,1.26078,14.7243,0,3.04855,39.2,38.46,37.58
1,2,12,0,0,6.69758,0,10.239,0,0.320146,0,8.11836,0,15.1865,0,15.7828,39.2,39.2,39.2
1,2,13,0,0,3.59816,0,3.58365,2.66603,0,0,0,2.66603,15.5139,0,2.24337,42.8,41.08,39.2
1,2,14,9.2151,2.50544,2.71004,0,0,3.20507,0,0,0,3.20507,1.07921,0,10.3941,44.6,41.91,39.02
1,2,15,7.10456,4.19591,3.85958,0,0,4.07924,0,0,0,4.07924,0,0,4.36404,41.72,39.76,37.4
1,2,16,0,3.67612,4.39033,0,0,1.09351,0,0,0,1.09351,0,0,0.693692,39.38,38.55,37.58
1,2,17,0,0,1.55718,0,0,0.485602,0,0,0,0.485602,0,0,5.13756,39.38,38.8,38.12
1,2,18,0.255975,3.85533,0,0,0,4.34804,0,0,0,4.34804,0,0,3.43439,39.92,39.1,38.12
1,2,19,29.4371,10.7165,0,0,0,2.40665,1.52431,0,0,2.40665,0,0,33.0464,39.02,38.19,37.22
1,2,20,3.13549,1.67768,0,0,0,2.79277,1.80889,0,0,2.79277,0,0,4.89392,37.4,36.66,35.78
1,2,21,0,3.36384,1.30045,0,11.5189,1.06226,1.81291,0,11.5189,1.06226,1.30597,0,17.3166,37.4,37.4,37.4
1,2,22,0,0,1.77703,0,2.81572,0,1.87654,0,2.0478,0,1.78529,0,1.72236,35.6,35.6,35.6
1,2,23,0,0,3.21747,0,12.5428,0,1.78952,0,13.0547,0,3.24906,0,29.6702,35.96,35.8,35.6
1,2,24,0,2.49502,2.91924,0,3.83962,1.42833,1.80106,0,3.32768,1.42833,2.55761,0,0.78278,37.4,36.58,35.6
1,3,1,9.2151,0.0818579,2.81529,0,0,1.62898,1.81564,0,0,1.62898,1.6768,0,2.60324,37.4,36.58,35.6
1,3,2,5.60146,1.27654,2.872,0,0,3.21231,0,0,0,3.21231,0,0,0.14738,37.4,36.58,35.6
1,3,3,0,0,2.29094,0,0,2.17453,0,0,0,2.17453,0,0,1.36862,37.4,36.58,35.6
1,3,4,0,0,1.79373,0,57.9285,0,14.998,0,0,0,0,0,0.125248,37.22,36.43,35.42
1,3,5,0,4.50548,3.25975,0,10.3565,3.06646,15.4642,0,0,3.06646,0,0,0.14738,35.42,34.74,33.8
1,3,6,12.4875,11.0984,0.165147,0,0,6.37781,13.0742,0,0,6.37781,0,0,4.71155,33.8,33.8,33.8
1,3,7,0,2.30854,0,0,0,0,0.0318476,0,0,0,0,0,45.1082,33.98,33.9,33.8
1,3,8,27.1334,6.39734,2.99217,0,0,2.30867,0,0,0,2.30867,1.75163,0,67.66,35.78,34.95,33.8
1,3,9,15.2874,9.34622,3.53584,0,9.72705,3.42352,0.892986,0,9.47107,3.42352,3.5287,0,32.9683,37.4,35.97,33.98
1,3,10,6.91132,4.49649,3.64684,0,6.39937,3.38842,1.786,0,5.88742,3.38842,3.53274,0,27.3872,37.4,36.82,36.14
1,3,11,19.4541,5.35166,3.12435,9.07858,13.0547,3.95214,3.1458,0,66.0416,3.95214,14.7104,0,69.083,41.18,40.18,39.02
1,3,12,25.2128,3.93379,4.32217,14.3346,15.3585,3.19135,2.65455,0,66.8806,3.19135,14.3244,5.97275,39.6417,43.16,40.58,37.58
1,3,13,22.9623,3.89959,3.69595,14.0826,3.3384,6.78296,3.57228,0,18.2892,6.78296,14.4617,1.52135,12.5867,46.4,42.92,39.2
1,3,14,0.127181,2.45388,4.909,0,0,2.71118,3.18016,0,0,2.71118,4.19721,0,13.4339,46.4,42.84,39.02
1,3,15,7.67925,0,3.42581,0,0,0,1.88161,0,0,0,2.59426,0,11.307,47.66,43.33,38.66
1,3,16,6.50297,0,1.84554,0,0,0,1.55115,0,0,0,1.48824,0,20.2742,46.4,42.15,37.4
1,3,17,12.5428,2.25661,1.88476,0,13.3107,4.1702,4.38896,0,0,4.1702,0,0,52.6377,46.22,41.9,37.04
1,3,18,22.4227,7.38844,1.84738,0,13.0547,9.68416,5.46019,0,4.60755,9.68416,0.6434,0,51.6864,45.32,41.6,37.4
1,3,19,8.58184,14.6365,2.98418,0,13.0547,8.26712,3.64043,0,8.95912,8.26712,1.72868,0,23.7418,44.42,41.22,37.58
1,3,20,0,8.47551,1.78838,0,6.1434,0,1.86115,0,0,0,1.81075,0,6.93496,41.9,40.63,39.2
1,3,21,11.7748,1.2682,3.22412,0,12.0308,0.875308,0.76594,0,0,0.875308,1.88836,0,9.19156,39.2,39.12,39.02
1,3,22,15.3331,0,5.03692,0,2.02789,3.34957,0,0,0,3.34957,0.128444,0,19.6019,39.2,38.38,37.4
